x^3 - x^2 - 12*x - 45
x^3 - x^2 - 20*x + 24
x^3 + 9*x - 45
x^3 - x^2 - 22*x + 45
x^3 - x^2 + 11*x + 4
x^3 - x^2 - 9*x + 22
x^3 - x^2 - 21*x - 15
x^3 - x^2 + 15*x + 36
x^3 - 7*x - 17
x^3 - x^2 + 16*x - 45
x^3 - x^2 - 13*x + 15
x^3 - x^2 + 12*x - 2
x^3 - 18*x - 25
x^3 - x^2 + 10*x + 7
x^3 - x^2 + 21*x - 36
x^3 - x^2 + 2*x - 47
x^3 - x^2 + 12*x - 6
x^3 - 11*x - 34
x^3 - x^2 + 10*x - 32
x^3 - x^2 + 17*x - 44
x^3 - x^2 + 4*x + 14
x^3 + x - 62
x^3 - x^2 + 17*x + 11
x^3 + 24*x - 11
x^3 - x^2 + 19*x - 7
x^3 - x^2 - 12*x - 2
x^3 - x^2 - 5*x + 18
x^3 - x^2 - 6*x - 45
x^3 - x^2 + 9*x - 15
x^3 - x^2 - 15*x - 12
x^3 - 13*x - 36
x^3 - x^2 - x + 16
x^3 - x^2 - 12*x + 10
x^3 - x^2 - 13*x - 6
x^3 - x^2 - 9*x - 16
x^3 - x^2 - 9*x - 45
x^3 + 5*x - 15
x^3 - x^2 - 2*x + 32
x^3 - 11*x - 21
x^3 - x^2 + 2*x + 15
x^3 - x^2 + 12*x - 1
x^3 - 17*x - 22
x^3 - 15*x - 16
x^3 - x^2 + x + 31
x^3 - 13*x - 9
x^3 - x^2 - 13*x - 20
x^3 - x^2 - 7*x - 15
x^3 - x^2 + 12*x - 7
x^3 + 8*x - 13
x^3 - 19*x - 6
x^3 + 11*x - 28
x^3 + 14*x - 24
x^3 - x^2 + 14*x + 20
x^3 - x^2 - 15*x + 33
x^3 - 16*x - 19
x^3 - x^2 - 2*x - 15
x^3 - x^2 + 13*x - 48
x^3 - x^2 - 12*x + 54
x^3 + 7*x - 14
x^3 - 12*x - 3
x^3 - x^2 - 14*x - 9
x^3 - x^2 - 15*x + 22
x^3 - x^2 + x - 16
x^3 + 10*x - 10
x^3 - x^2 - 19*x + 15
x^3 - x^2 + 10*x - 14
x^3 - x^2 - 19*x + 64
x^3 + 13*x - 26
x^3 - x^2 + 11*x - 12
x^3 - x^2 - 7*x + 35
x^3 - x^2 + 8*x + 11
x^3 + 9*x - 12
x^3 + 9*x - 30
x^3 + 18*x - 12
x^3 - x^2 - 12*x - 1
x^3 - x^2 - 19*x - 1
x^3 - x^2 + 6*x - 17
x^3 - x^2 - 17*x - 17
x^3 - x^2 - 19*x - 30
x^3 - 12*x - 1
x^3 - x^2 + 4*x - 17
x^3 - x^2 - 25*x - 2
x^3 - x^2 + 3*x + 15
x^3 - x^2 - 11*x + 39
x^3 + 12*x - 1
x^3 - x^2 - 20*x - 8
x^3 + 19*x - 4
x^3 - x^2 + x + 48
x^3 - x^2 - 13*x + 14
x^3 - x^2 + 12*x + 1
x^3 - 20*x - 12
x^3 - x^2 + 18*x - 45
x^3 - x^2 - 14*x + 18
x^3 - x^2 - 23*x + 48
x^3 - x^2 - 22*x + 32
x^3 - x^2 - 19*x + 11
x^3 - x^2 - 2*x + 17
x^3 - x^2 - 19*x - 22
x^3 + 6*x - 32
x^3 - x^2 - 19*x + 3
x^3 + 12*x - 3
x^3 - x^2 + 4*x + 64
x^3 - x^2 - 25*x + 45
x^3 - x^2 - 19*x + 7
x^3 - x^2 + 10*x - 51
x^3 - x^2 - 20*x + 38
x^3 - x^2 - 12*x + 1
x^3 - x^2 - x - 16
x^3 - x^2 - 17*x + 38
x^3 - x^2 - 12*x + 7
x^3 - x^2 + 12*x + 2
x^3 - 22*x - 43
x^3 + x - 66
x^3 - 12*x - 23
x^3 - x^2 - 12*x + 2
x^3 - x^2 - 12*x + 6
x^3 + 5*x - 16
x^3 - 15*x - 15
x^3 - x^2 - 22*x - 16
x^3 - x^2 - 15*x - 11
x^3 - x^2 - 17*x + 28
x^3 - x^2 - 4*x + 68
x^3 - x^2 - 24*x - 24
x^3 - 13*x - 7
x^3 - x^2 - 12*x + 3
x^3 - x^2 - 12*x + 5
x^3 - x^2 + 17*x + 15
x^3 - x^2 - 24*x + 40
x^3 - x^2 - 14*x - 22
x^3 - x^2 + 7*x - 35
x^3 - x^2 - 24*x - 35
x^3 - x^2 - 21*x + 25
