x^6 + 24*x^4 - 13*x^3 + 144*x^2 - 156*x + 361
x^6 - 14*x^3 + 63*x^2 + 168*x + 161
x^6 - 14*x^3 + 63*x^2 - 210*x + 224
x^6 + 75
x^6 - 3*x^5 + 6*x^4 + 23*x^3 - 39*x^2 - 48*x + 256
x^6 - 3*x^5 + 16*x^4 - 27*x^3 + 24*x^2 - 11*x + 31
x^6 - x^5 - 34*x^4 + 34*x^3 + 316*x^2 - 316*x - 559
x^6 - x^5 - 24*x^4 + 7*x^3 + 112*x^2 + 23*x - 89
x^6 + 25*x^4 + 122*x^2 + 121
x^6 - x^5 + 21*x^4 - 22*x^3 + 58*x^2 + 23*x + 155
x^6 - 30*x^4 - 14*x^3 + 225*x^2 + 210*x - 179
x^6 - x^5 - 21*x^4 + 19*x^3 + 67*x^2 + 17*x + 1
x^6 - x^5 + 25*x^4 - 17*x^3 + 295*x^2 - 81*x + 1429
x^6 - 19*x^4 + 38*x^2 - 19
x^6 - x^5 - 35*x^4 + 23*x^3 + 315*x^2 - 121*x - 631
x^6 - x^5 - 4*x^4 - 7*x^3 + 67*x^2 + 122*x + 229
x^6 + 26*x^4 + 104*x^2 + 104
x^6 - 26*x^4 + 104*x^2 - 104
x^6 - x^5 + 28*x^4 - 19*x^3 + 357*x^2 - 100*x + 1847
x^6 - x^5 + 6*x^4 + x^3 + 85*x^2 - 118*x + 415
x^6 - 18*x^4 + 81*x^2 - 33
x^6 - x^5 - 22*x^4 + 5*x^3 + 73*x^2 - 58*x + 1
x^6 - x^5 + 21*x^4 + 27*x^3 + 37*x^2 + 33*x + 121
x^6 - 21*x^4 - 14*x^3 + 63*x^2 + 21*x - 35
x^6 - 21*x^4 - 14*x^3 + 63*x^2 + 84*x + 28
x^6 - 3*x^5 - 30*x^4 + 63*x^3 + 219*x^2 - 300*x - 271
x^6 - 2*x^5 + 36*x^4 - 46*x^3 + 535*x^2 - 368*x + 3121
x^6 - x^5 - 44*x^4 + 29*x^3 + 525*x^2 - 196*x - 1561
x^6 - x^5 + 21*x^4 + 2*x^3 + 409*x^2 - 180*x + 81
x^6 + 9*x^4 - 21*x^3 + 108*x^2 - 36*x + 120
x^6 + 18*x^4 + 81*x^2 + 156
x^6 - 18*x^4 + 81*x^2 + 39
x^6 - x^5 + 50*x^4 - 50*x^3 + 736*x^2 - 736*x + 3137
x^6 - 3*x^5 + 6*x^4 + 35*x^3 - 57*x^2 - 66*x + 484
x^6 + 147
x^6 - x^5 - x^4 - 9*x^3 + 87*x^2 + 145*x + 379
x^6 - 2*x^5 - 25*x^4 + 44*x^3 + 92*x^2 - 112*x - 92
x^6 - x^5 + x^4 + 13*x^3 + 71*x^2 + 419*x + 827
x^6 - x^5 + x^4 + 13*x^3 + 162*x^2 - 400*x + 736
x^6 - x^5 + 34*x^4 - 35*x^3 + 162*x^2 + 36*x + 467
x^6 - 2*x^5 - 48*x^4 + 66*x^3 + 647*x^2 - 424*x - 2339
x^6 - 91*x^3 + 2197
x^6 - 26*x^3 + 2197
x^6 - x^5 - 25*x^4 + 7*x^3 + 95*x^2 - 95*x + 19
x^6 + 24*x^4 + 144*x^2 + 304
x^6 - x^5 + 25*x^4 - 30*x^3 + 603*x^2 - 648*x + 729
x^6 - 54*x^4 - 26*x^3 + 729*x^2 + 702*x - 1511
x^6 - x^5 - 36*x^4 - 30*x^3 + 151*x^2 + 147*x + 7
x^6 - x^5 + 15*x^4 - 5*x^3 + 199*x^2 - 199*x + 1165
x^6 - x^5 + 49*x^4 - 33*x^3 + 959*x^2 - 289*x + 7181
x^6 + 41*x^4 + 418*x^2 + 81
x^6 - x^5 - 31*x^4 + 4*x^3 + 253*x^2 + 101*x - 391
x^6 - x^5 - 31*x^4 + 4*x^3 + 162*x^2 - 81*x - 27
x^6 - 3*x^5 - 42*x^4 + 87*x^3 + 471*x^2 - 588*x - 1223
x^6 + 54*x^4 - 28*x^3 + 729*x^2 - 756*x + 2971
x^6 - x^5 + 71*x^4 - 71*x^3 + 1471*x^2 - 1471*x + 8471
x^6 - 38*x^4 + 152*x^2 - 152
x^6 + 38*x^4 + 152*x^2 + 152
x^6 - x^5 + 58*x^4 - 39*x^3 + 1307*x^2 - 400*x + 11087
x^6 - x^5 - 44*x^4 + 25*x^3 + 413*x^2 - 64*x - 451
x^6 - 2*x^5 - 29*x^4 + 50*x^3 + 118*x^2 + 24*x + 1
x^6 + 49*x^4 + 630*x^2 + 729
x^6 - x^5 - 57*x^4 + 56*x^3 + 526*x^2 - 55*x - 625
x^6 - 2*x^5 - 37*x^4 + 46*x^3 + 298*x^2 - 332*x - 239
x^6 - x^5 + 31*x^4 + 84*x^3 + 873*x^2 + 810*x + 729
x^6 - x^5 + x^4 - 99*x^3 + 281*x^2 + 573*x + 981
x^6 - x^5 + x^4 - 99*x^3 + 414*x^2 - 1156*x + 1912
x^6 - x^5 - 77*x^4 + 51*x^3 + 1757*x^2 - 625*x - 11593
x^6 - 39*x^4 - 26*x^3 + 351*x^2 + 585*x + 117
x^6 - 39*x^4 - 26*x^3 + 351*x^2 + 234*x - 468
x^6 - x^5 + 60*x^4 - 61*x^3 + 526*x^2 + 62*x + 1949
x^6 - 152*x^3 + 6859
x^6 - 19*x^3 + 6859
x^6 - 3*x^5 + 6*x^4 + 59*x^3 - 93*x^2 - 102*x + 1156
x^6 + 363
x^6 - 2*x^5 + 75*x^4 - 98*x^3 + 2082*x^2 - 1408*x + 21113
x^6 - 63*x^4 - 2*x^3 + 1092*x^2 - 108*x - 4863
x^6 - 42*x^4 + 441*x^2 - 588
x^6 - 2*x^5 - 32*x^4 + 14*x^3 + 187*x^2 - 24*x - 47
x^6 - x^5 - 55*x^4 - 49*x^3 + 341*x^2 + 337*x - 107
x^6 - x^5 - 89*x^4 + 59*x^3 + 2385*x^2 - 841*x - 18901
x^6 - x^5 + 91*x^4 - 61*x^3 + 3045*x^2 - 961*x + 36959
x^6 + 507
x^6 - 3*x^5 + 6*x^4 + 71*x^3 - 111*x^2 - 120*x + 1600
x^6 - x^5 + 59*x^4 + 65*x^3 + 341*x^2 + 337*x + 1147
x^6 - 102*x^4 - 50*x^3 + 2601*x^2 + 2550*x - 12239
x^6 - x^5 + 2*x^4 + 122*x^3 + 474*x^2 + 888*x + 881
x^6 - x^5 + 2*x^4 - 11*x^3 + 341*x^2 - 708*x + 2876
x^6 - x^5 + 8*x^4 - 113*x^3 + 435*x^2 - 666*x + 428
x^6 - x^5 + 8*x^4 - 22*x^3 - 20*x^2 + 426*x + 1611
x^6 - x^5 + 100*x^4 - 67*x^3 + 3645*x^2 - 1156*x + 47879
x^6 - x^5 - 40*x^4 + 17*x^3 + 295*x^2 - 310*x - 11
x^6 - x^5 - 39*x^4 + 51*x^3 + 489*x^2 - 851*x + 1297
x^6 - 108*x^4 - 53*x^3 + 2916*x^2 + 2862*x - 14687
x^6 - 26*x^3 + 351*x^2 + 234*x + 208
x^6 - 26*x^3 + 351*x^2 - 936*x + 793
x^6 - 3*x^5 + 78*x^4 - 149*x^3 + 2265*x^2 - 2358*x + 24303
x^6 - 48*x^4 - 70*x^3 + 453*x^2 + 1050*x + 503
x^6 - 48*x^4 - 56*x^3 + 453*x^2 + 840*x + 62
x^6 - x^5 + 45*x^4 - 84*x^3 + 2000*x^2 - 2816*x + 4096
x^6 - 2*x^5 - 37*x^4 + 26*x^3 + 510*x^2 + 360*x + 1161
x^6 - x^5 - 3*x^4 - 7*x^3 + 210*x^2 + 184*x + 1472
x^6 - x^5 + 78*x^4 + 84*x^3 + 607*x^2 + 603*x + 2287
x^6 - 2*x^5 - 132*x^4 + 178*x^3 + 5463*x^2 - 3616*x - 70519
x^6 - x^5 - 134*x^4 + 89*x^3 + 5595*x^2 - 1936*x - 72241
x^6 - 2*x^5 - x^4 + 12*x^3 + 204*x^2 - 400*x + 1732
x^6 - 3*x^5 + 93*x^4 - 179*x^3 + 3165*x^2 - 3273*x + 39203
x^6 - x^5 - 140*x^4 + 93*x^3 + 6125*x^2 - 2116*x - 83161
x^6 - 2*x^5 - 41*x^4 + 94*x^3 + 538*x^2 - 1532*x + 2193
x^6 + 867
